title,sjr,source_id,ss_id
Ca-A Cancer Journal for Clinicians,Q1,S126094547,
Foundations and Trends in Machine Learning,Q1,S4210188176,
Nature Reviews Molecular Cell Biology,Q1,S196724125,
Quarterly Journal of Economics,Q1,S203860005,4ef064ce-f0c1-4f08-89e1-9cf2e2df44b7
Nature Reviews Cancer,Q1,S160464432,
Cell,Q1,S110447773,e4782337-db2d-4ab2-8eda-a71d1c60709b
Nature Reviews Drug Discovery,Q1,S186543748,
American Economic Review,Q1,S23254222,
Nature Reviews Materials,Q1,S2764917516,722543dd-21f3-4b3c-941b-1045b173ec51
Nature Reviews Clinical Oncology,Q1,S41981144,e665d258-d079-4464-9b33-2291ffb17a14
New England Journal of Medicine,Q1,S62468778,dc31f077-7737-4e33-baa3-bceeff44ec27
Journal of Finance,Q1,S5353659,430be0b0-fbe2-4c0d-98a5-137e3e454c79
Nature Medicine,Q1,S203256638,
Current Protocols in Bioinformatics,Q1,S4210177645,75a7291e-6312-43ec-b91d-fd0c368b868d
MMWR supplements,Q1,S2765065363,703d5321-a804-4e69-8ea1-66214a79f1be
Journal of Political Economy,Q1,S95323914,f55d084f-66df-4f19-8cd9-dfeeb5d64fd9
Nature,Q1,S137773608,6c24a0a0-b07d-4d7b-a19b-fd09a3ed453a
Nature Biotechnology,Q1,S106963461,458166b3-de17-4bf3-bbbb-e53782de2f0f
Chemical Reviews,Q1,S41143188,f458795b-af97-4b7c-ba4e-d57bbb57f90a
Econometrica,Q1,S95464858,f10de14b-2023-40bb-9e55-2406fb0f88f7
Review of Financial Studies,Q1,S170137484,
Cancer Cell,Q1,S25671836,11e469cb-37ad-487e-b0ab-d26e82037c22
Nature Energy,Q1,S2764528046,57f737f2-debc-4503-8443-74051f5ca389
Nature Genetics,Q1,S137905309,bb27e645-e57c-42c3-bcbc-c7b443c58209
Reviews of Modern Physics,Q1,S73260565,8558aef1-7952-4eac-8e2c-e095c1a741a0
Nature Reviews Immunology,Q1,S93373720,
IEEE Communications Surveys and Tutorials,Q1,S23688054,95d0dda7-5d58-4afd-b59f-315447b81992
World Psychiatry,Q1,S183644930,6fa1c829-124c-49c7-b3f8-91cc9caaa518
Annual Review of Immunology,Q1,S109088427,55a00200-9f4e-4d5a-a313-88626d192dbd
National Vital Statistics Reports,Q1,S4306520559,
Nature Methods,Q1,S127827428,099483df-e8f2-4bee-805d-8a69f07b6cbf
Advances in Physics,Q1,S137691401,0cc7cc39-0da2-40a4-b033-a71ac2ec6e75
Nano Research Energy,Q1,S4210169697,62a2d172-1275-4c17-8eaf-f12b3e50d114
MMWR Recommendations and Reports,Q1,S4210169956,a7d4fb34-b8e4-4ff1-a72f-893b04f9db05
Academy of Management Annals,Q1,S27614628,
Nature Nanotechnology,Q1,S7822423,708a1dbd-6269-4131-b622-e609d36ce3c9
Nature Reviews Genetics,Q1,S8553189,f44976b5-2cb9-402a-bc59-6a174239987b
Nature Materials,Q1,S103895331,2cc29e11-7fb1-434f-bc7c-efbf9e64672a
Administrative Science Quarterly,Q1,S143668711,db2423f3-30c7-4390-b245-43eeaa759d3b
Annals of Oncology,Q1,S41454044,9777e708-5066-48fd-ab6a-57496cbca033
Annual Review of Astronomy and Astrophysics,Q1,S29882555,7e9a8674-dfcc-4075-b865-c54aa763ae33
