title,SJR Best Quartile,source_id
Ca-A Cancer Journal for Clinicians,Q1,S126094547
Foundations and Trends in Machine Learning,Q1,S4210188176
Nature Reviews Molecular Cell Biology,Q1,S196724125
Quarterly Journal of Economics,Q1,S203860005
Nature Reviews Cancer,Q1,S160464432
Cell,Q1,S110447773
Nature Reviews Drug Discovery,Q1,S186543748
American Economic Review,Q1,S23254222
Nature Reviews Materials,Q1,S2764917516
Nature Reviews Clinical Oncology,Q1,S41981144
New England Journal of Medicine,Q1,S62468778
Journal of Finance,Q1,S5353659
Nature Medicine,Q1,S203256638
Current Protocols in Bioinformatics,Q1,S4210177645
MMWR supplements,Q1,S2765065363
Journal of Political Economy,Q1,S95323914
Nature,Q1,S137773608
Nature Biotechnology,Q1,S106963461
Chemical Reviews,Q1,S41143188
Econometrica,Q1,S95464858
Review of Financial Studies,Q1,S170137484
Cancer Cell,Q1,S25671836
Nature Energy,Q1,S2764528046
Nature Genetics,Q1,S137905309
Reviews of Modern Physics,Q1,S73260565
Nature Reviews Immunology,Q1,S93373720
IEEE Communications Surveys and Tutorials,Q1,S23688054
World Psychiatry,Q1,S183644930
Annual Review of Immunology,Q1,S109088427
National Vital Statistics Reports,Q1,S4306520559
Nature Methods,Q1,S127827428
Advances in Physics,Q1,S137691401
Nano Research Energy,Q1,S4210169697
MMWR Recommendations and Reports,Q1,S4210169956
Academy of Management Annals,Q1,S27614628
Nature Nanotechnology,Q1,S7822423
Nature Reviews Genetics,Q1,S8553189
Nature Materials,Q1,S103895331
Administrative Science Quarterly,Q1,S143668711
Annals of Oncology,Q1,S41454044
Annual Review of Astronomy and Astrophysics,Q1,S29882555
Journal of Financial Economics,Q1,S149240962
Review of Economic Studies,Q1,S88935262
Immunity,Q1,S128227336
Nature Catalysis,Q1,S4210229375
Morbidity and Mortality Weekly Report,Q1,S183158886
Chemical Society Reviews,Q1,S316438
American Economic Journal: Macroeconomics,Q1,S170166683
Nature Reviews Methods Primers,Q1,S4210231269
eScience,Q1,S4210209524
Proceedings of the IEEE International Conference on Computer Vision,-,
Nature Neuroscience,Q1,S2298632
Handbook of Econometrics,Q1,S9967140
"Lancet Oncology, The",Q1,S116900674
"Lancet, The",Q1,S49861241
Science,Q1,S3880285
Nature Cancer,Q1,S160464432
Journal of Marketing,Q1,S142990027
Annual Review of Pathology: Mechanisms of Disease,Q1,S188288600
Joule,Q1,S2898305631
Nature Electronics,Q1,S4210239724
Nature Reviews Chemistry,Q1,S4210174246
Cell Metabolism,Q1,S177533077
Nature Immunology,Q1,S41063453
Nature Photonics,Q1,S120392215
Journal of Economic Literature,Q1,S127708089
Energy and Environmental Science,Q1,S117082959
Physiological Reviews,Q1,S203035050
Journal of Clinical Oncology,Q1,S15137598
Academy of Management Review,Q1,S46763546
Proceedings of the IEEE Computer Society Conference on Computer Vision and Pattern Recognition,-,
MMWR Surveillance Summaries,Q1,S4210189843
Cell Stem Cell,Q1,S128124174
"Lancet Diabetes and Endocrinology,The",Q1,S2529869117
Nature Reviews Disease Primers,Q1,S4210201506
Living Reviews in Relativity,Q1,S110783047
Psychological Science in the Public Interest,Q1,S1025063068
Journal of Hepatology,Q1,S83651209
Annual Review of Condensed Matter Physics,Q1,S185750702
Annual Review of Biochemistry,Q1,S53860259
